Sobic.001G062300.v3.1,Sobic.002G211000.v3.1,Sobic.002G278700.v3.1,Sobic.008G179900.v3.1,Sobic.010G177800.v3.1,Sobic.001G291300.v3.1,Sobic.004G030200.v3.1,Sobic.010G229450.v3.1,Sobic.003G421700.v3.1,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Row,isFloweringWeek,Date.Harvested,Collection.Time,No.plants.pooled,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,Unreplicated,CompleteSampleTreatment,Timepoint,Group
10451,14634,14671,12131,3189,13393,16495,22848,36468,0803169L16,BOPAY,Block 16,9,1,RT430,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,11:46 AM,10,216,2016-08-03,9,68,FALSE,RT430:09:Postflowering,9,RT430:Postflowering
20244,18973,54058,20445,384,2503,19058,27150,3939,0810162L03,BOCSU,Block 03,10,2,RT430,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,10:28 AM,10,216,2016-08-03,9,68,FALSE,RT430:10:Postflowering,10,RT430:Postflowering
5773,7262,19474,8043,371,2037,1747,25548,2521,0810162L22,BOCXP,Block 22,10,3,RT430,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,12:47 PM,10,216,2016-08-03,9,68,FALSE,RT430:10:Postflowering,10,RT430:Postflowering
10721,7548,27590,9956,274,1444,2901,25284,3001,0810162L16,BOPBU,Block 16,10,1,RT430,Postflowering,Leaves,Day70,Row2,FALSE,8/10/16,11:54 AM,10,216,2016-08-03,9,68,FALSE,RT430:10:Postflowering,10,RT430:Postflowering
9675,9179,8319,15425,84,779,1911,21823,1701,0817163L03,BOCTP,Block 03,11,2,RT430,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,11:12 AM,10,216,2016-08-03,9,68,FALSE,RT430:11:Postflowering,11,RT430:Postflowering
9890,3324,2258,12128,232,968,933,33813,517,0817163L22,BOCYH,Block 22,11,3,RT430,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,1:25 PM,10,216,2016-08-03,9,68,FALSE,RT430:11:Postflowering,11,RT430:Postflowering
9347,3722,653,9038,106,780,2935,5819,1027,0817163L16,BOPCP,Block 16,11,1,RT430,Postflowering,Leaves,Day77,Row3,FALSE,8/17/16,12:34 PM,10,216,2016-08-03,9,68,FALSE,RT430:11:Postflowering,11,RT430:Postflowering
7834,4439,4211,8689,211,447,1559,29995,518,0824164L22,BOPTY,Block 22,12,3,RT430,Postflowering,Leaves,Day84,Row4,FALSE,8/24/16,1:10 PM,10,216,2016-08-03,9,68,TRUE,RT430:12:Postflowering,12,RT430:Postflowering
8211,1674,2495,14791,61,303,2513,15395,554,0831165L16,BZNON,Block 16,13,1,RT430,Postflowering,Leaves,Day91,Row5,NA,8/31/16,12:07 PM,10,NA,NA,NA,NA,FALSE,RT430:13:Postflowering,13,RT430:Postflowering
10821,11842,9288,11800,212,586,9872,10242,3889,0831165L03,BOCNP,Block 03,13,2,RT430,Postflowering,Leaves,Day91,Row5,NA,8/31/16,10:32 AM,10,NA,NA,NA,NA,FALSE,RT430:13:Postflowering,13,RT430:Postflowering
7249,3146,2242,10276,135,698,1365,33354,438,0831165L22,BOPUU,Block 22,13,3,RT430,Postflowering,Leaves,Day91,Row5,NA,8/31/16,1:18 PM,10,NA,NA,NA,NA,FALSE,RT430:13:Postflowering,13,RT430:Postflowering
11432,7683,1848,14080,275,522,2133,28630,1590,0907166L22,BOPWP,Block 22,14,3,RT430,Postflowering,Leaves,Day98,Row6,FALSE,9/7/16,12:33 PM,10,216,2016-08-03,9,68,TRUE,RT430:14:Postflowering,14,RT430:Postflowering
5374,10717,6620,5854,211,2097,5101,2708,262,0615163L12,BOCAU,Block 12,2,3,RT430,Control,Leaves,Day14, Row3,FALSE,6/15/16,11:22 AM,20,216,2016-08-03,9,68,FALSE,RT430:02:Control,2,RT430:Control
4257,19439,18501,7763,283,1702,2839,5178,819,0615163L20,BOCGW,Block 20,2,2,RT430,Control,Leaves,Day14, Row3,FALSE,6/15/16,12:16 PM,20,216,2016-08-03,9,68,FALSE,RT430:02:Control,2,RT430:Control
6454,11024,9150,4139,251,1746,6596,2699,176,0615163L01,BOPGA,Block 01,2,1,RT430,Control,Leaves,Day14, Row3,FALSE,6/15/16,10:18 AM,20,216,2016-08-03,9,68,FALSE,RT430:02:Control,2,RT430:Control
5476,11086,12152,12120,744,4908,7600,10143,3153,0622162L12,BOCBG,Block 12,3,3,RT430,Control,Leaves,Day21, Row2,FALSE,6/22/16,12:20 PM,15,216,2016-08-03,9,68,FALSE,RT430:03:Control,3,RT430:Control
9354,14169,16485,12069,996,4254,11519,11662,3579,0622162L20,BOCHH,Block 20,3,2,RT430,Control,Leaves,Day21, Row2,FALSE,6/22/16,10:52 AM,15,216,2016-08-03,9,68,FALSE,RT430:03:Control,3,RT430:Control
7972,12948,9581,11503,824,4049,11973,13367,2220,0622162L01,BOPGH,Block 01,3,1,RT430,Control,Leaves,Day21, Row2,FALSE,6/22/16,10:19 AM,15,216,2016-08-03,9,68,FALSE,RT430:03:Control,3,RT430:Control
6817,18760,19649,12169,898,4101,7157,6872,2361,0629164L12,BOCBW,Block 12,4,3,RT430,Control,Leaves,Day28,Row4,FALSE,6/29/16,11:04 AM,15,216,2016-08-03,9,68,FALSE,RT430:04:Control,4,RT430:Control
6070,14146,38094,13061,648,2792,4450,6557,2008,0629164L20,BOCHX,Block 20,4,2,RT430,Control,Leaves,Day28,Row4,FALSE,6/29/16,12:13 PM,10,216,2016-08-03,9,68,FALSE,RT430:04:Control,4,RT430:Control
5827,14819,20776,8840,344,919,6692,4456,1139,0629164L01,BOPGX,Block 01,4,1,RT430,Control,Leaves,Day28,Row4,FALSE,6/29/16,10:10 AM,10,216,2016-08-03,9,68,FALSE,RT430:04:Control,4,RT430:Control
12865,22287,2908,12615,2860,9300,32142,8176,3564,0706165L01,CCHPT,Block 01,5,1,RT430,Control,Leaves,Day35,Row5,FALSE,7/6/16,9:58AM,10,216,2016-08-03,9,68,FALSE,RT430:05:Control,5,RT430:Control
8975,21026,2122,13599,11017,15599,27472,14255,10574,0706165L12,BZNNH,Block 12,5,3,RT430,Control,Leaves,Day35,Row5,FALSE,7/6/16,10:52 AM,10,216,2016-08-03,9,68,FALSE,RT430:05:Control,5,RT430:Control
11142,14497,3366,13196,2229,13844,21315,9034,7431,0706165L20,BZNNP,Block 20,5,2,RT430,Control,Leaves,Day35,Row5,FALSE,7/6/16,12:01PM,10,216,2016-08-03,9,68,FALSE,RT430:05:Control,5,RT430:Control
7633,15119,9148,9867,3240,16142,11658,12584,8035,0713166L12,BOCCX,Block 12,6,3,RT430,Control,Leaves,Day42,Row6,FALSE,7/13/16,10:54 AM,10,216,2016-08-03,9,68,FALSE,RT430:06:Control,6,RT430:Control
6128,23063,6610,11560,4412,14980,8728,15375,9227,0713166L20,BOCNN,Block 20,6,2,RT430,Control,Leaves,Day42,Row6,FALSE,7/13/16,11:55 AM,10,216,2016-08-03,9,68,FALSE,RT430:06:Control,6,RT430:Control
6893,12844,15766,6268,3454,9202,11337,4990,2413,0713166L01,BOPHN,Block 01,6,1,RT430,Control,Leaves,Day42,Row6,FALSE,7/13/16,10:05 AM,10,216,2016-08-03,9,68,FALSE,RT430:06:Control,6,RT430:Control
7519,11233,14775,13105,3785,19549,15099,14462,8161,0720167L12,BOCGN,Block 12,7,3,RT430,Control,Leaves,Day49,Row7,FALSE,7/20/16,10:57 AM,10,216,2016-08-03,9,68,TRUE,RT430:07:Control,7,RT430:Control
11658,27969,24059,14447,2807,12782,8862,26423,31395,0727168L20,BOCPW,Block 20,8,2,RT430,Control,Leaves,Day56,Row8,FALSE,7/27/16,12:10 PM,10,216,2016-08-03,9,68,FALSE,RT430:08:Control,8,RT430:Control
12349,23807,23280,16832,3438,16303,16105,27789,38432,0727168L12,BOCUY,Block 12,8,3,RT430,Control,Leaves,Day56,Row8,FALSE,7/27/16,11:06 AM,10,216,2016-08-03,9,68,FALSE,RT430:08:Control,8,RT430:Control
10644,17869,23449,15020,4907,19145,21329,19352,29527,0727168L01,BOOZZ,Block 01,8,1,RT430,Control,Leaves,Day56,Row8,FALSE,7/27/16,10:04 AM,10,216,2016-08-03,9,68,FALSE,RT430:08:Control,8,RT430:Control
9268,18369,16356,16408,3010,11924,14121,36005,60234,0803169L12,BOCWO,Block 12,9,3,RT430,Control,Leaves,Day63,Row9,TRUE,8/3/16,11:06 AM,10,216,2016-08-03,9,68,FALSE,RT430:09:Control,9,RT430:Control
11132,25220,22384,19414,2549,13725,16023,37663,47924,0803169L20,BOCSS,Block 20,9,2,RT430,Control,Leaves,Day63,Row9,TRUE,8/3/16,12:23 PM,10,216,2016-08-03,9,68,FALSE,RT430:09:Control,9,RT430:Control
13914,14604,23935,12496,2108,10130,25772,23267,24622,0803169L01,BOPAP,Block 01,9,1,RT430,Control,Leaves,Day63,Row9,TRUE,8/3/16,10:05 AM,10,216,2016-08-03,9,68,FALSE,RT430:09:Control,9,RT430:Control
11244,25250,30991,18769,4149,14789,11954,35091,40292,0810162L20,BOCTN,Block 20,10,2,RT430,Control,Leaves,Day70,Row2,FALSE,8/10/16,12:30 PM,10,216,2016-08-03,9,68,FALSE,RT430:10:Control,10,RT430:Control
9574,11380,13761,10864,1302,7551,13743,16191,14419,0810162L12,BOCXG,Block 12,10,3,RT430,Control,Leaves,Day70,Row2,FALSE,8/10/16,11:15 AM,10,216,2016-08-03,9,68,FALSE,RT430:10:Control,10,RT430:Control
12953,6294,9834,8910,1469,4361,22302,6957,3997,0810162L01,BOPBH,Block 01,10,1,RT430,Control,Leaves,Day70,Row2,FALSE,8/10/16,10:03 AM,10,216,2016-08-03,9,68,FALSE,RT430:10:Control,10,RT430:Control
17483,42147,32698,46785,7126,26037,14673,177257,42992,0817163L20,BOCUC,Block 20,11,2,RT430,Control,Leaves,Day77,Row3,FALSE,8/17/16,1:08 PM,10,216,2016-08-03,9,68,FALSE,RT430:11:Control,11,RT430:Control
6962,14978,14254,14813,2258,9389,6896,40596,15808,0817163L12,BOCYA,Block 12,11,3,RT430,Control,Leaves,Day77,Row3,FALSE,8/17/16,12:03 PM,10,216,2016-08-03,9,68,FALSE,RT430:11:Control,11,RT430:Control
11195,12466,18780,11709,2418,7254,13961,14876,28450,0817163L01,BOPCB,Block 01,11,1,RT430,Control,Leaves,Day77,Row3,FALSE,8/17/16,10:48 AM,10,216,2016-08-03,9,68,FALSE,RT430:11:Control,11,RT430:Control
13954,9074,13901,18426,6279,13978,24359,18769,12632,0824164L20,BZNOA,Block 20,12,2,RT430,Control,Leaves,Day84,Row4,FALSE,8/24/16,12:51 PM,10,216,2016-08-03,9,68,FALSE,RT430:12:Control,12,RT430:Control
17292,12950,17142,16029,1823,9362,38862,19957,12099,0824164L01,BZNNX,Block 01,12,1,RT430,Control,Leaves,Day84,Row4,FALSE,8/24/16,10:18 AM,10,216,2016-08-03,9,68,FALSE,RT430:12:Control,12,RT430:Control
10179,12837,13185,15657,1433,9046,18854,34942,19222,0824164L12,BOPTT,Block 12,12,3,RT430,Control,Leaves,Day84,Row4,FALSE,8/24/16,11:27 AM,10,216,2016-08-03,9,68,FALSE,RT430:12:Control,12,RT430:Control
9366,11675,7803,16056,1431,12766,16600,37217,7849,0831165L20,BOCOC,Block 20,13,2,RT430,Control,Leaves,Day91,Row5,NA,8/31/16,12:57 PM,10,NA,NA,NA,NA,FALSE,RT430:13:Control,13,RT430:Control
12275,6738,7336,14298,1860,8592,29215,11329,6305,0831165L01,BOPHY,Block 01,13,1,RT430,Control,Leaves,Day91,Row5,NA,8/31/16,10:08 AM,10,NA,NA,NA,NA,FALSE,RT430:13:Control,13,RT430:Control
10253,13265,7740,15466,1463,10249,18785,34059,12165,0831165L12,BOPUO,Block 12,13,3,RT430,Control,Leaves,Day91,Row5,NA,8/31/16,11:28 AM,10,NA,NA,NA,NA,FALSE,RT430:13:Control,13,RT430:Control
13146,8732,3753,16907,1293,9668,14244,25850,10665,0907166L12,BOPWG,Block 12,14,3,RT430,Control,Leaves,Day98,Row6,FALSE,9/7/16,11:18 AM,10,216,2016-08-03,9,68,TRUE,RT430:14:Control,14,RT430:Control
9475,13138,23316,5748,15696,13980,17918,36636,1828,0622162L06,BOCAZ,Block 06,3,3,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:39 AM,15,216,2016-08-03,9,68,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
7074,7834,9152,4755,4294,9344,11437,26990,248,0622162L14,BOCHA,Block 14,3,2,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,12:11 PM,15,230,2016-08-17,11,82,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
7870,10026,23226,5368,4328,8503,12006,27613,355,0622162L17,BOPGS,Block 17,3,1,BT642,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:50 AM,15,230,2016-08-17,11,82,FALSE,BT642:03:Preflowering,3,BT642:Preflowering
20729,44829,94577,13835,10969,23953,41276,90258,1124,0629164L06,BOCBP,Block 06,4,3,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,10:42 AM,10,216,2016-08-03,9,68,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
8555,14711,30539,6010,2908,6297,16230,31831,279,0629164L14,BOCHS,Block 14,4,2,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:29 AM,15,230,2016-08-17,11,82,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
7799,13898,32285,6200,2888,7632,11543,31960,456,0629164L17,BOPHB,Block 17,4,1,BT642,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:42 AM,10,230,2016-08-17,11,82,FALSE,BT642:04:Preflowering,4,BT642:Preflowering
8170,16173,20825,5190,6675,14484,20120,34079,2551,0706165L06,BOCCA,Block 06,5,3,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,10:28AM,10,216,2016-08-03,9,68,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
9264,23093,41627,6735,6258,8261,35574,29232,3067,0706165L14,BZNOS,Block 14,5,2,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,11:17AM,10,230,2016-08-17,11,82,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
8956,29206,35223,9985,8308,6465,17542,46803,8984,0706165L17,BZNOT,Block 17,5,1,BT642,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,11:26AM,10,230,2016-08-17,11,82,FALSE,BT642:05:Preflowering,5,BT642:Preflowering
9569,20384,60772,5305,6346,10551,19570,28663,1633,0713166L06,BOCCS,Block 06,6,3,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,10:34 AM,10,216,2016-08-03,9,68,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
8613,21723,58088,7646,6546,6230,19205,30548,8882,0713166L14,BOCNB,Block 14,6,2,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:15 AM,10,230,2016-08-17,11,82,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
9500,17317,52708,7595,5205,3092,19063,27347,11214,0713166L17,BOPHT,Block 17,6,1,BT642,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:24 AM,10,230,2016-08-17,11,82,FALSE,BT642:06:Preflowering,6,BT642:Preflowering
10777,24539,37070,6671,6168,8207,24126,42293,2901,0720167L06,BOCGB,Block 06,7,3,BT642,Preflowering,Leaves,Day49,Row7,FALSE,7/20/16,10:39 AM,10,216,2016-08-03,9,68,TRUE,BT642:07:Preflowering,7,BT642:Preflowering
15652,34805,56410,12877,6773,3883,13331,29789,10976,0727168L14,BOCPS,Block 14,8,2,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:21 AM,10,230,2016-08-17,11,82,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
11275,43428,79545,8636,1827,2295,15083,44477,2965,0727168L06,BOCUT,Block 06,8,3,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,10:46 AM,10,216,2016-08-03,9,68,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
13183,20631,30126,8751,2180,4098,14433,17588,4602,0727168L17,BOPAG,Block 17,8,1,BT642,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:46 AM,10,230,2016-08-17,11,82,FALSE,BT642:08:Preflowering,8,BT642:Preflowering
8345,23462,17751,6989,10405,14911,14375,23584,13202,0803169L14,BOCSH,Block 14,9,2,BT642,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,11:24 AM,10,230,2016-08-17,11,82,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
8150,15011,24765,6456,4376,9467,29030,25634,7646,0803169L06,BOCWC,Block 06,9,3,BT642,Preflowering,Leaves,Day63,Row9,TRUE,8/3/16,10:45 AM,10,216,2016-08-03,9,68,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
10662,28965,6476,8225,5942,11759,23425,71655,33791,0803169L17,BOPBA,Block 17,9,1,BT642,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,11:51 AM,10,230,2016-08-17,11,82,FALSE,BT642:09:Preflowering,9,BT642:Preflowering
16730,30557,16856,8822,42773,28062,41380,58999,50869,0810162L14,BOCTB,Block 14,10,2,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,11:39 AM,10,230,2016-08-17,11,82,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
13017,24939,9379,6525,14778,13883,29445,59395,14738,0810162L06,BOCWZ,Block 06,10,3,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,10:58 AM,10,216,2016-08-03,9,68,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
9446,20258,11721,6137,18131,23179,22641,28045,26724,0810162L17,BOPBX,Block 17,10,1,BT642,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,12:01 PM,10,230,2016-08-17,11,82,FALSE,BT642:10:Preflowering,10,BT642:Preflowering
15028,29793,8975,7665,86181,23462,18011,32266,105409,0817163L14,BOCTY,Block 14,11,2,BT642,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,12:19 PM,10,230,2016-08-17,11,82,FALSE,BT642:11:Preflowering,11,BT642:Preflowering
9281,34290,8340,5906,17235,15804,10579,59715,67218,0817163L06,BOCXW,Block 06,11,3,BT642,Preflowering,Leaves,Day77,Row3,FALSE,8/17/16,11:38 AM,10,216,2016-08-03,9,68,FALSE,BT642:11:Preflowering,11,BT642:Preflowering
