sample_id,live_cd19_negative,cd45_negative,cd45_positive,neutrophils,non_neutrophils,cd3_negative,cd3_positive,cd4_t_cells,cd8_t_cells
SAMP051,158332,80327,71141,58727,12412,5839,5802,2740,2257
SAMP026,107451,72579,29942,22792,7143,2015,4379,217,996
SAMP061,750594,716258,32254,19675,12578,2752,7748,4048,2923
SAMP043,155940,75369,74689,56105,18581,13981,3456,2347,676
SAMP128,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP125,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP010,155940,75369,74689,56105,18581,13981,3456,2347,676
SAMP109,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP085,188735,88506,97267,67452,29810,18158,10208,6952,1987
SAMP028,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP091,350874,149643,186101,167986,18104,12496,4502,1997,1493
SAMP056,848081,797578,47489,31003,16478,8934,6182,2763,2028
SAMP023,674579,597810,71995,58037,13957,4668,8187,4602,2914
SAMP113,110029,73529,35053,29168,5884,3524,1330,529,425
SAMP032,392245,372287,18335,13544,4787,2947,1336,746,429
SAMP131,757957,585993,165764,143737,22020,12946,6031,3131,2178
SAMP067,801459,306160,474526,401903,72598,52839,14451,4157,5675
SAMP009,190323,81315,103421,82575,20842,15683,3614,2249,748
SAMP022,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP039,923980,883260,36129,26597,9527,1836,518,329,121
SAMP053,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP029,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP075,347091,259075,86122,53132,32988,16341,15078,7126,6009
SAMP121,347091,259075,86122,53132,32988,16341,15078,7126,6009
SAMP100,337586,241020,82275,69546,12722,10998,948,570,168
SAMP059,862595,828121,33473,29930,3542,1207,2001,1178,532
SAMP024,179999,96536,81094,60490,20603,10888,7991,4842,2169
SAMP012,350874,149643,186101,167986,18104,12496,4502,1997,1493
SAMP016,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP041,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP081,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP015,337586,241020,82275,69546,12722,10998,948,570,168
SAMP120,549687,205464,318081,227328,90728,62957,23887,15734,5017
SAMP030,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP117,938649,928355,9003,7158,1845,530,931,385,265
SAMP068,337586,241020,82275,69546,12722,10998,948,570,168
SAMP049,757957,585993,165764,143737,22020,12946,6031,3131,2178
SAMP115,256383,216538,35453,24705,10747,6040,3268,1526,1252
SAMP112,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP004,220839,88001,121062,108287,12773,10855,1102,173,803
SAMP019,126941,36689,88910,80163,8742,2148,4676,2371,1647
SAMP079,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP086,455176,335309,115347,79788,35557,24071,10146,6347,2937
SAMP034,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP092,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP048,290094,150152,132620,112281,20334,9618,8108,2616,4354
SAMP111,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP069,738273,692237,44545,25732,18813,8681,8933,5307,2994
SAMP080,862595,828121,33473,29930,3542,1207,2001,1178,532
SAMP005,176015,85543,86933,76364,10569,4402,5647,2942,2165
